id,service_id,branch_id,time_taken,request_time,rating
99,1,9,2,Day-Off-Peak,4
100,3,29,10,Day-Peak,4
101,4,63,9,Night,4
102,1,34,2,Day-Peak,5
103,3,56,7,Night,4
104,2,65,13,Day-Peak,5
105,1,2,2,Night,5
106,1,7,3,Day-Off-Peak,3
107,3,27,6,Night,4
108,2,80,13,Day-Off-Peak,4
109,4,81,9,Night,4
110,3,88,7,Night,4
111,2,25,13,Day-Peak,5
112,1,8,2,Day-Peak,4
113,1,18,1,Night,5
114,3,91,6,Night,5
115,3,63,8,Day-Peak,3
116,2,1,12,Day-Peak,4
117,3,72,8,Day-Off-Peak,4
118,1,64,6,Night,3
119,2,31,14,Day-Off-Peak,3
120,1,44,2,Night,5
121,2,77,14,Day-Peak,3
122,4,100,9,Day-Off-Peak,4
123,1,33,2,Day-Off-Peak,5
124,1,12,2,Day-Peak,4
125,2,24,13,Night,4
126,4,92,8,Day-Off-Peak,4
127,2,72,13,Day-Peak,5
128,3,80,7,Day-Peak,4
129,1,23,1,Day-Off-Peak,5
130,1,11,2,Day-Peak,4
131,3,50,7,Day-Off-Peak,4
132,1,9,2,Day-Peak,4
133,1,37,8,Night,4
134,4,98,9,Day-Off-Peak,5
135,1,25,1,Night,5
136,3,83,7,Night,4
137,1,29,1,Day-Peak,5
138,1,45,3,Day-Off-Peak,3
139,1,26,1,Night,5
140,1,54,2,Day-Off-Peak,5
141,4,98,8,Day-Peak,5
142,3,70,8,Day-Off-Peak,4
143,3,84,7,Day-Off-Peak,5
144,2,50,13,Day-Off-Peak,4
145,1,27,3,Day-Off-Peak,3
146,1,11,3,Night,3
147,2,43,13,Day-Peak,4
148,4,86,9,Day-Off-Peak,4
149,1,4,2,Night,4
150,4,99,9,Day-Peak,4
151,1,20,2,Night,4
152,1,38,1,Day-Peak,4
153,4,92,9,Day-Off-Peak,4
154,3,93,7,Day-Off-Peak,4
155,1,25,3,Night,4
156,2,46,13,Night,4
157,1,54,2,Night,5
158,1,9,2,Night,4
159,4,65,8,Day-Peak,5
160,2,75,12,Night,4
161,1,83,3,Night,3
162,2,82,13,Night,5
163,2,71,14,Day-Peak,4
164,3,79,6,Day-Peak,5
165,1,1,3,Day-Peak,3
166,4,83,12,Day-Off-Peak,3
167,2,60,15,Night,3
168,1,46,2,Day-Off-Peak,4
169,4,75,9,Day-Off-Peak,4
170,4,48,9,Day-Off-Peak,4
171,4,81,8,Day-Off-Peak,4
172,3,72,7,Day-Off-Peak,5
173,1,1,1,Day-Off-Peak,4
174,1,30,2,Day-Peak,5
175,2,37,12,Night,5
176,1,55,2,Night,4
177,3,96,7,Day-Peak,4
178,2,67,12,Day-Off-Peak,4
179,2,94,12,Day-Peak,5
180,3,42,8,Day-Off-Peak,4
181,1,29,1,Day-Peak,5
182,1,68,3,Night,4
183,4,85,8,Day-Off-Peak,4
184,4,56,9,Night,4
185,2,36,12,Day-Off-Peak,5
186,1,23,2,Night,5
187,3,59,7,Day-Off-Peak,5
188,3,90,9,Day-Peak,4
189,1,20,2,Night,4
190,2,49,13,Night,5
191,1,18,2,Day-Off-Peak,5
192,1,34,2,Night,5
193,1,8,2,Night,4
194,3,60,6,Day-Off-Peak,4
195,3,68,7,Night,5
196,4,91,10,Day-Peak,4
197,1,74,7,Day-Peak,4
198,4,97,9,Night,4
199,3,53,7,Day-Peak,4
200,3,94,7,Night,5
201,2,49,14,Day-Off-Peak,4
202,2,35,16,Day-Peak,3
203,3,62,7,Night,5
204,1,29,2,Night,5
205,1,10,2,Night,5
206,1,14,1,Day-Peak,4
207,2,75,13,Night,4
208,1,5,2,Night,4
209,1,48,2,Day-Peak,4
210,1,6,3,Day-Peak,4
211,3,85,6,Night,4
212,3,89,7,Day-Peak,5
213,1,18,2,Night,5
214,2,29,12,Day-Peak,5
215,3,81,6,Day-Off-Peak,4
216,1,46,2,Day-Off-Peak,4
217,3,83,7,Day-Peak,4
218,1,3,1,Night,5
219,2,58,13,Day-Off-Peak,5
220,1,23,1,Day-Peak,5
221,4,60,9,Night,4
222,1,9,1,Day-Peak,4
223,1,74,2,Day-Peak,5
224,2,75,14,Day-Off-Peak,3
225,1,1,2,Night,4
226,1,10,5,Day-Off-Peak,4
227,3,37,6,Day-Off-Peak,5
228,1,23,2,Day-Off-Peak,5
229,1,5,2,Night,4
230,1,30,1,Day-Peak,5
231,1,55,6,Day-Off-Peak,3
232,1,54,2,Night,5
233,3,66,7,Day-Off-Peak,5
234,1,24,3,Day-Peak,3
235,1,39,2,Day-Off-Peak,4
236,2,30,13,Day-Off-Peak,5
237,2,82,13,Day-Peak,5
238,4,86,10,Day-Off-Peak,3
239,4,90,10,Day-Off-Peak,4
240,3,89,7,Night,5
241,3,82,7,Night,5
242,1,32,2,Day-Off-Peak,5
243,3,64,9,Day-Off-Peak,3
244,2,46,13,Night,4
245,1,5,4,Night,3
246,4,73,13,Day-Off-Peak,4
247,1,2,2,Day-Off-Peak,5
248,3,35,7,Night,4
249,1,38,2,Day-Peak,4
250,3,65,7,Day-Off-Peak,5
251,1,22,3,Day-Off-Peak,4
252,3,95,9,Day-Off-Peak,3
253,4,100,9,Day-Off-Peak,4
254,4,98,9,Night,5
255,1,35,6,Night,3
256,1,27,2,Day-Peak,4
257,4,77,8,Day-Peak,4
258,3,49,7,Day-Peak,5
259,2,32,14,Day-Off-Peak,4
260,1,82,2,Day-Off-Peak,5
261,2,48,13,Night,4
262,1,18,3,Day-Off-Peak,4
263,1,60,2,Night,4
264,1,14,2,Day-Off-Peak,4
265,1,9,1,Day-Off-Peak,4
266,4,94,9,Night,5
267,1,22,3,Night,4
268,2,37,12,Day-Peak,5
269,3,82,7,Day-Peak,5
270,1,3,2,Night,5
271,1,10,2,Night,5
272,2,83,16,Day-Off-Peak,3
273,3,28,7,Day-Off-Peak,5
274,1,62,2,Day-Off-Peak,5
275,3,71,7,Night,5
276,1,1,2,Day-Peak,4
277,3,88,7,Day-Off-Peak,4
278,4,94,10,Day-Peak,4
279,2,76,14,Day-Off-Peak,3
280,3,73,7,Night,5
281,3,12,7,Night,4
282,2,83,13,Night,4
283,2,18,12,Day-Peak,5
284,2,65,13,Night,5
285,3,77,10,Day-Peak,3
286,1,59,2,Day-Off-Peak,5
287,2,67,13,Night,4
288,1,9,1,Day-Off-Peak,4
289,2,32,13,Night,5
290,4,95,10,Day-Peak,3
291,3,48,7,Day-Peak,4
292,1,2,2,Day-Off-Peak,5
293,4,98,10,Day-Peak,4
294,1,61,2,Night,5
295,1,9,3,Day-Off-Peak,3
296,4,97,8,Night,4
297,1,39,2,Day-Peak,4
298,1,25,6,Day-Peak,4
299,4,92,11,Day-Peak,3
300,1,42,4,Night,4
301,3,30,10,Day-Off-Peak,4
302,2,78,14,Day-Peak,3
303,1,33,2,Day-Peak,5
304,1,30,3,Day-Peak,4
305,1,72,2,Day-Peak,5
306,2,88,12,Night,4
307,4,81,8,Night,4
308,3,73,6,Day-Off-Peak,5
309,1,54,3,Day-Off-Peak,4
310,2,60,13,Day-Off-Peak,4
311,1,24,2,Day-Off-Peak,4
312,3,50,7,Day-Off-Peak,4
313,2,83,13,Night,4
314,4,50,8,Day-Peak,4
315,3,57,7,Day-Off-Peak,4
316,1,6,2,Day-Peak,5
317,3,82,8,Night,4
318,2,30,12,Night,5
319,1,26,2,Day-Peak,5
320,3,99,7,Day-Peak,4
321,1,18,3,Day-Peak,4
322,1,69,2,Day-Off-Peak,5
323,3,73,7,Day-Peak,5
324,1,19,2,Day-Peak,5
325,3,40,7,Night,5
326,1,76,2,Day-Peak,4
327,1,2,3,Day-Off-Peak,4
328,2,68,14,Night,4
329,3,77,8,Day-Peak,3
330,4,93,9,Day-Off-Peak,4
331,3,91,7,Day-Off-Peak,5
332,3,49,6,Day-Off-Peak,5
333,4,91,8,Day-Peak,5
334,1,20,2,Night,4
335,1,6,2,Day-Peak,5
336,2,20,15,Day-Peak,3
337,4,73,9,Night,5
338,3,46,7,Day-Off-Peak,4
339,4,60,9,Day-Off-Peak,4
340,1,42,2,Day-Peak,5
341,1,70,2,Day-Off-Peak,5
342,1,34,2,Day-Peak,5
343,1,43,2,Day-Off-Peak,4
344,3,80,6,Night,4
345,4,95,10,Day-Peak,3
346,2,41,13,Day-Peak,4
347,1,44,2,Night,5
348,1,11,2,Day-Peak,4
349,3,56,7,Night,4
350,3,46,6,Day-Off-Peak,4
351,3,65,7,Night,5
352,2,11,13,Night,4
353,1,1,1,Day-Off-Peak,4
354,1,32,2,Day-Peak,5
355,3,70,7,Night,5
356,2,32,13,Day-Peak,5
357,2,22,12,Day-Peak,5
358,3,94,6,Day-Off-Peak,5
359,3,65,6,Day-Peak,5
360,1,49,2,Night,5
361,2,54,13,Night,5
362,2,9,13,Day-Off-Peak,4
363,1,52,2,Day-Peak,4
364,4,76,8,Night,4
365,1,18,2,Night,5
366,2,53,15,Night,3
367,3,75,8,Day-Off-Peak,3
368,1,65,1,Day-Peak,5
369,1,7,3,Day-Peak,3
370,1,12,4,Night,3
371,4,76,8,Day-Peak,4
372,2,93,12,Day-Peak,4
373,4,86,9,Night,4
374,3,97,6,Day-Off-Peak,4
375,3,70,7,Night,5
376,4,82,9,Day-Off-Peak,5
377,3,78,7,Day-Off-Peak,4
378,4,76,9,Night,4
379,2,47,15,Night,3
380,2,34,12,Day-Off-Peak,5
381,1,54,2,Day-Off-Peak,5
382,1,9,4,Night,3
383,1,51,2,Day-Peak,5
384,1,13,3,Night,4
385,1,15,2,Day-Peak,4
386,2,79,14,Day-Peak,4
387,1,26,1,Day-Peak,5
388,1,6,2,Day-Peak,5
389,2,20,13,Day-Off-Peak,4
390,3,41,6,Day-Off-Peak,4
391,3,94,7,Night,5
392,1,55,3,Day-Off-Peak,3
393,3,18,7,Day-Peak,5
394,2,96,12,Day-Off-Peak,4
395,1,3,2,Day-Peak,5
396,2,93,21,Day-Off-Peak,3
397,2,63,12,Day-Off-Peak,4
398,4,76,9,Day-Off-Peak,4
399,2,29,19,Day-Off-Peak,4
400,3,38,9,Day-Peak,3
401,1,16,2,Night,4
402,1,1,2,Day-Peak,4
403,2,30,12,Night,5
404,3,65,7,Day-Off-Peak,5
405,2,32,13,Day-Peak,5
406,2,39,13,Day-Off-Peak,4
407,3,53,7,Day-Peak,4
408,1,26,4,Day-Off-Peak,4
409,1,16,2,Day-Off-Peak,4
410,4,75,10,Day-Peak,3
411,1,10,2,Night,5
412,4,75,8,Night,4
413,3,34,7,Day-Peak,5
414,1,11,1,Night,4
415,2,64,12,Night,4
416,1,54,2,Night,5
417,1,23,3,Day-Peak,4
418,1,27,2,Day-Peak,4
419,2,36,13,Day-Off-Peak,5
420,2,77,13,Day-Off-Peak,4
421,1,30,1,Day-Peak,5
422,3,77,10,Day-Peak,3
423,1,42,3,Night,4
424,1,5,2,Day-Peak,4
425,1,40,2,Day-Peak,5
426,4,96,9,Day-Peak,4
427,2,47,13,Day-Peak,4
428,1,41,2,Day-Peak,4
429,1,79,6,Night,4
430,2,83,18,Night,3
431,1,23,3,Night,4
432,3,92,7,Night,4
433,4,67,11,Day-Peak,3
434,2,72,13,Day-Off-Peak,5
435,1,4,2,Day-Peak,4
436,3,65,8,Day-Off-Peak,4
437,2,64,14,Night,3
438,4,26,9,Night,5
439,1,23,2,Day-Peak,5
440,3,48,7,Day-Off-Peak,4
441,4,93,10,Day-Peak,3
442,2,42,15,Night,4
443,1,64,6,Day-Off-Peak,3
444,1,37,4,Day-Off-Peak,4
445,1,11,2,Night,4
446,1,12,2,Day-Peak,4
447,3,57,7,Day-Off-Peak,4
448,4,95,10,Night,3
449,3,66,7,Night,5
450,3,76,10,Night,3
451,1,23,1,Day-Peak,5
452,3,29,8,Night,4
453,1,58,3,Day-Peak,4
454,1,18,2,Night,5
455,2,44,13,Day-Off-Peak,5
456,2,43,15,Day-Peak,3
457,1,1,2,Day-Off-Peak,4
458,2,90,13,Night,5
459,4,88,10,Day-Peak,3
460,3,66,8,Night,4
461,1,36,3,Night,4
462,3,95,7,Day-Off-Peak,4
463,1,7,2,Night,4
464,3,71,7,Night,5
465,4,85,8,Night,4
466,1,14,2,Day-Off-Peak,4
467,2,10,14,Night,4
468,1,22,2,Day-Peak,5
469,3,71,8,Day-Off-Peak,4
470,1,21,2,Day-Peak,4
471,3,50,7,Night,4
472,3,95,7,Night,4
473,3,36,6,Day-Peak,5
474,3,83,7,Day-Off-Peak,4
475,3,65,7,Night,5
476,1,51,3,Night,4
477,1,27,2,Day-Peak,4
478,1,54,2,Night,5
479,2,72,13,Day-Off-Peak,5
480,1,1,3,Day-Peak,3
481,3,83,6,Day-Off-Peak,4
482,1,89,2,Night,5
483,1,73,3,Day-Off-Peak,4
484,1,61,3,Day-Peak,4
485,1,69,1,Night,5
486,4,51,9,Day-Off-Peak,5
487,2,56,13,Day-Off-Peak,4
488,2,50,15,Day-Off-Peak,3
489,1,8,2,Night,4
490,3,21,7,Night,4
491,2,50,13,Night,4
492,2,10,13,Day-Peak,5
493,2,78,13,Night,4
494,3,91,6,Day-Off-Peak,5
495,2,61,12,Night,5
496,2,74,13,Day-Off-Peak,5
497,2,87,13,Night,4
498,3,21,7,Night,4
499,3,71,7,Day-Peak,5
500,1,59,2,Day-Peak,5
501,3,29,7,Day-Peak,5
502,2,9,13,Day-Off-Peak,4
503,1,14,5,Day-Peak,3
504,1,1,1,Night,4
505,1,21,3,Day-Off-Peak,3
506,2,45,13,Day-Peak,4
507,3,77,8,Night,3
508,3,82,7,Day-Off-Peak,5
509,1,2,2,Day-Off-Peak,5
510,2,72,14,Night,4
511,4,74,9,Day-Off-Peak,5
512,1,8,2,Day-Off-Peak,4
513,2,50,13,Day-Peak,4
514,2,51,13,Night,5
515,3,76,7,Day-Off-Peak,4
516,1,11,2,Night,4
517,2,45,13,Day-Off-Peak,4
518,2,42,13,Night,5
519,1,39,1,Day-Off-Peak,4
520,3,96,7,Day-Peak,4
521,4,85,8,Day-Peak,4
522,2,22,13,Day-Off-Peak,5
523,2,69,14,Night,4
524,2,58,13,Night,5
525,1,1,1,Day-Peak,4
526,3,97,7,Night,4
527,4,92,11,Day-Peak,3
528,1,61,2,Night,5
529,2,66,13,Night,5
530,2,24,13,Day-Off-Peak,4
531,3,64,7,Day-Off-Peak,4
532,3,56,8,Night,3
533,2,25,12,Day-Off-Peak,5
534,1,48,2,Day-Peak,4
535,3,31,7,Night,4
536,3,56,7,Day-Off-Peak,4
537,4,75,9,Night,4
538,4,100,10,Day-Peak,3
539,3,80,6,Day-Peak,4
540,3,91,7,Night,5
541,2,35,13,Night,4
542,4,91,10,Day-Peak,4
543,2,61,13,Day-Peak,5
544,3,68,9,Day-Off-Peak,4
545,4,84,10,Day-Off-Peak,4
546,2,15,14,Night,3
547,1,46,2,Night,4
548,1,90,4,Night,4
549,3,93,6,Night,4
550,1,16,2,Night,4
551,3,12,7,Night,4
552,1,38,1,Day-Peak,4
553,3,85,6,Day-Peak,4
554,1,8,2,Day-Peak,4
555,1,17,2,Day-Peak,4
556,1,4,1,Night,4
557,3,69,7,Night,5
558,3,18,6,Night,5
559,1,22,3,Day-Peak,4
560,1,40,3,Night,4
561,1,62,3,Day-Peak,4
562,2,6,12,Day-Off-Peak,5
563,1,49,1,Day-Off-Peak,5
564,1,27,3,Day-Peak,3
565,2,34,13,Night,5
566,1,7,4,Day-Peak,3
567,2,43,13,Day-Peak,4
568,1,37,2,Day-Off-Peak,5
569,3,80,9,Day-Peak,3
570,3,70,7,Day-Off-Peak,5
571,1,30,1,Night,5
572,3,94,7,Day-Off-Peak,5
573,3,37,7,Day-Off-Peak,5
574,2,83,13,Night,4
575,1,24,1,Day-Off-Peak,4
576,2,53,13,Day-Peak,4
577,3,69,7,Day-Off-Peak,5
578,3,93,8,Day-Off-Peak,3
579,2,49,14,Day-Off-Peak,4
580,1,19,2,Day-Off-Peak,5
581,1,47,1,Day-Peak,4
582,4,53,9,Day-Off-Peak,4
583,1,40,2,Day-Off-Peak,5
584,4,63,9,Day-Off-Peak,4
585,3,45,7,Day-Peak,4
586,2,43,13,Night,4
587,2,93,14,Day-Peak,3
588,4,83,9,Day-Off-Peak,4
589,4,80,9,Day-Off-Peak,4
590,3,71,7,Day-Off-Peak,5
591,4,83,9,Day-Off-Peak,4
592,1,10,2,Day-Peak,5
593,1,12,2,Day-Peak,4
594,4,56,9,Day-Off-Peak,4
595,1,31,4,Day-Off-Peak,3
596,2,20,15,Day-Off-Peak,3
597,3,71,8,Day-Peak,4
598,2,51,13,Day-Off-Peak,5
599,2,55,16,Night,3
600,1,9,3,Day-Peak,3
601,2,8,13,Day-Peak,4
602,2,82,13,Night,5
603,1,48,2,Day-Peak,4
604,1,4,1,Day-Peak,4
605,4,81,8,Day-Off-Peak,4
606,1,6,2,Day-Peak,5
607,2,48,15,Day-Peak,3
608,1,33,1,Day-Peak,5
609,1,25,1,Day-Peak,5
610,3,64,8,Night,3
611,3,27,7,Day-Peak,4
612,1,73,2,Day-Off-Peak,5
613,3,83,7,Day-Off-Peak,4
614,3,51,8,Day-Peak,4
615,3,8,9,Day-Peak,3
616,3,67,7,Day-Off-Peak,4
617,1,20,1,Day-Off-Peak,4
618,4,95,9,Night,4
619,1,25,2,Day-Peak,5
620,2,74,13,Day-Off-Peak,5
621,1,3,3,Night,4
622,3,62,7,Day-Off-Peak,5
623,3,25,6,Day-Off-Peak,5
624,1,1,2,Day-Off-Peak,4
625,2,98,13,Night,5
626,4,96,11,Night,3
627,1,12,1,Night,4
628,2,72,13,Day-Peak,5
629,2,76,12,Day-Off-Peak,4
630,1,28,3,Night,4
631,3,36,7,Day-Peak,5
632,1,19,2,Day-Peak,5
633,3,86,6,Day-Off-Peak,4
634,2,22,13,Night,5
635,1,66,2,Day-Off-Peak,5
636,3,62,7,Day-Off-Peak,5
637,2,52,14,Day-Peak,3
638,2,61,13,Day-Peak,5
639,1,25,3,Day-Peak,4
640,2,39,12,Night,4
641,1,84,1,Night,5
642,3,60,7,Night,4
643,1,61,2,Day-Off-Peak,5
644,3,88,7,Day-Off-Peak,4
645,1,12,4,Day-Off-Peak,3
646,2,72,13,Night,5
647,2,50,13,Night,4
648,3,54,7,Night,5
649,1,83,2,Day-Off-Peak,4
650,2,51,13,Day-Off-Peak,5
651,1,49,3,Day-Peak,4
652,3,85,6,Night,4
653,1,18,1,Day-Off-Peak,5
654,2,74,13,Day-Off-Peak,5
655,2,64,13,Day-Off-Peak,4
656,4,98,8,Night,5
657,1,62,1,Night,5
658,4,99,10,Day-Off-Peak,3
659,2,43,13,Day-Off-Peak,4
660,1,65,1,Day-Off-Peak,5
661,3,90,6,Night,5
662,2,70,13,Day-Peak,5
663,4,51,9,Night,5
664,4,98,8,Day-Off-Peak,5
665,2,72,12,Day-Peak,5
666,3,80,7,Day-Peak,4
667,1,29,2,Day-Peak,5
668,4,87,9,Day-Peak,4
669,1,62,2,Day-Peak,5
670,4,91,8,Night,5
671,1,34,2,Day-Off-Peak,5
672,3,66,7,Night,5
673,2,41,13,Day-Peak,4
674,1,57,2,Night,4
675,2,34,13,Night,5
676,4,73,10,Day-Peak,4
677,2,47,13,Day-Peak,4
678,4,87,10,Day-Peak,3
679,1,22,3,Day-Off-Peak,4
680,1,4,2,Day-Peak,4
681,3,40,7,Day-Peak,5
682,1,11,2,Day-Off-Peak,4
683,4,99,9,Day-Peak,4
684,1,9,2,Night,4
685,2,54,15,Day-Off-Peak,4
686,4,62,11,Day-Peak,4
687,3,90,7,Day-Peak,5
688,2,1,13,Day-Peak,4
689,1,24,1,Day-Peak,4
690,2,71,13,Night,5
691,3,54,9,Night,4
692,2,78,16,Day-Peak,3
693,2,53,14,Day-Peak,3
694,4,94,9,Night,5
695,2,39,13,Day-Peak,4
696,1,4,2,Night,4
697,4,91,9,Day-Off-Peak,5
698,1,5,2,Day-Off-Peak,4
699,1,31,2,Day-Peak,4
700,1,46,3,Night,3
701,3,89,7,Day-Peak,5
702,2,26,13,Day-Peak,5
703,2,58,28,Day-Off-Peak,4
704,2,37,15,Day-Peak,4
705,1,16,2,Night,4
706,1,34,2,Night,5
707,2,44,13,Night,5
708,3,74,8,Day-Peak,4
709,1,6,2,Day-Off-Peak,5
710,1,57,2,Night,4
711,3,44,7,Night,5
712,2,34,18,Night,4
713,3,84,9,Day-Off-Peak,4
714,1,21,2,Day-Off-Peak,4
715,3,79,9,Night,4
716,3,68,7,Day-Peak,5
717,2,52,13,Night,4
718,1,67,3,Night,3
719,2,34,13,Night,5
720,4,66,9,Day-Peak,5
721,1,1,2,Night,4
722,2,47,12,Day-Peak,4
723,3,97,6,Day-Peak,4
724,3,95,6,Day-Off-Peak,4
725,3,81,7,Night,4
726,2,53,13,Night,4
727,4,83,9,Day-Off-Peak,4
728,2,57,13,Day-Peak,4
729,2,75,13,Day-Peak,4
730,2,67,13,Night,4
731,3,74,7,Night,5
732,3,70,7,Day-Off-Peak,5
733,1,52,2,Day-Peak,4
734,4,98,9,Day-Off-Peak,5
735,1,22,2,Night,5
736,1,17,2,Night,4
737,3,25,13,Night,4
738,1,64,2,Day-Off-Peak,4
739,2,61,14,Day-Off-Peak,4
740,3,88,8,Day-Off-Peak,3
741,1,3,4,Night,4
742,3,67,7,Day-Peak,4
743,4,93,9,Day-Peak,4
744,4,99,10,Night,3
745,2,43,13,Day-Off-Peak,4
746,2,70,13,Night,5
747,2,93,13,Day-Off-Peak,4
748,4,62,9,Day-Peak,5
749,2,89,14,Day-Peak,4
750,2,41,12,Day-Peak,4
751,3,75,6,Day-Off-Peak,4
752,4,92,9,Day-Off-Peak,4
753,3,46,7,Night,4
754,4,63,8,Day-Off-Peak,4
755,1,2,2,Day-Peak,5
756,4,85,10,Night,3
757,1,6,2,Day-Off-Peak,5
758,3,91,7,Day-Off-Peak,5
759,1,28,7,Night,4
760,1,2,3,Night,4
761,2,16,13,Day-Peak,4
762,1,17,2,Night,4
763,1,10,2,Day-Peak,5
764,1,16,2,Day-Peak,4
765,4,55,10,Day-Peak,3
766,3,53,7,Day-Peak,4
767,2,80,17,Day-Off-Peak,3
768,3,43,7,Day-Off-Peak,4
769,2,32,12,Night,5
770,4,71,11,Day-Off-Peak,4
771,4,91,9,Day-Off-Peak,5
772,3,82,7,Day-Off-Peak,5
773,4,74,9,Day-Off-Peak,5
774,2,70,13,Day-Off-Peak,5
775,4,68,8,Night,5
776,1,21,2,Day-Off-Peak,4
777,3,21,9,Night,3
778,1,16,1,Day-Peak,4
779,2,30,14,Day-Peak,4
780,2,58,13,Night,5
781,2,24,13,Day-Off-Peak,4
782,4,95,11,Day-Off-Peak,3
783,3,58,7,Night,5
784,2,27,13,Day-Peak,4
785,1,20,6,Day-Off-Peak,3
786,1,5,4,Day-Off-Peak,3
787,3,16,9,Night,3
788,2,34,13,Day-Peak,5
789,3,91,7,Day-Peak,5
790,3,91,6,Night,5
791,1,1,4,Day-Peak,3
792,4,99,10,Day-Off-Peak,3
793,4,85,10,Day-Peak,3
794,3,80,7,Day-Peak,4
795,2,27,13,Day-Peak,4
796,3,11,7,Day-Off-Peak,4
797,4,91,8,Night,5
798,1,27,2,Night,4
799,1,4,2,Day-Peak,4
800,4,63,10,Night,3
801,1,14,2,Night,4
802,1,90,3,Day-Peak,4
803,3,13,7,Night,5
804,1,1,2,Day-Off-Peak,4
805,3,74,6,Day-Off-Peak,5
806,1,7,4,Night,3
807,1,20,2,Night,4
808,1,28,2,Day-Peak,5
809,1,6,2,Night,5
810,1,9,2,Day-Off-Peak,4
811,2,77,14,Night,3
812,2,67,14,Night,3
813,2,70,13,Day-Peak,5
814,3,27,7,Day-Peak,4
815,4,89,8,Day-Peak,5
816,1,32,3,Night,4
817,2,75,13,Day-Peak,4
818,3,60,7,Night,4
819,1,60,1,Day-Peak,4
820,2,31,13,Day-Peak,4
821,2,22,15,Day-Peak,4
822,3,32,7,Day-Peak,5
823,1,39,2,Night,4
824,3,87,9,Day-Peak,3
825,4,38,8,Day-Peak,4
826,1,8,3,Day-Peak,3
827,1,21,2,Night,4
828,4,73,9,Night,5
829,1,38,1,Day-Off-Peak,4
830,3,56,7,Night,4
831,3,85,6,Night,4
832,4,92,10,Night,3
833,2,93,14,Day-Peak,3
834,2,79,13,Day-Off-Peak,5
835,3,79,14,Night,4
836,3,80,8,Night,3
837,3,86,7,Day-Peak,4
838,4,84,10,Day-Peak,4
839,1,2,1,Day-Peak,5
840,3,73,7,Day-Off-Peak,5
841,3,26,8,Night,4
842,3,97,6,Day-Off-Peak,4
843,1,17,3,Night,3
844,4,79,10,Day-Peak,4
